aboard,a bordo,0,0,0,0,0,0,0,0,0,0,FALSO,
adrift,à deriva,0,1,0,1,0,1,0,1,0,0,VERDADEIRO,
notwithstanding,a despeito de,0,0,0,0,0,0,0,0,0,0,FALSO,
lurking,à espreita,0,1,0,0,0,0,0,0,0,0,VERDADEIRO,
halfway,a meio caminho,0,1,0,0,0,0,0,0,0,0,VERDADEIRO,
stylish,à moda,0,0,0,0,0,0,0,0,0,0,FALSO,
crush,a paixão súbita,0,0,0,0,0,0,0,0,0,0,FALSO,
waterproof,à prova d'água,1,0,0,0,0,0,0,0,0,0,VERDADEIRO,
bulletproof,a prova de balas,1,0,0,0,0,0,0,0,0,0,VERDADEIRO,
fireproof,a prova de fogo,1,0,0,0,0,0,0,0,0,0,VERDADEIRO,
streak,à risca,0,0,0,0,0,0,0,0,0,0,FALSO,
oneself,a si mesmo,0,0,0,0,0,0,0,0,0,0,FALSO,
flap,aba,0,1,0,0,0,0,0,0,0,0,VERDADEIRO,
avocado,abacate,0,0,0,0,0,0,0,0,0,0,FALSO,
pineapple,abacaxi,0,0,0,0,0,0,0,0,0,0,FALSO,
abacus,ábaco,0,0,0,0,0,0,0,0,0,1,VERDADEIRO,
abbot,abade,0,0,0,0,0,0,0,0,0,1,VERDADEIRO,
stuffy,abafado,0,1,0,0,0,0,0,0,0,0,VERDADEIRO,
lowering,abaixando,0,1,0,0,0,0,0,0,0,0,VERDADEIRO,
bellow,abaixo,0,0,0,0,0,0,0,0,0,0,FALSO,
shaken,abalada,0,0,0,0,0,0,0,0,0,0,FALSO,
wag,abanar,0,0,0,0,0,0,0,0,0,0,FALSO,
abandoned,abandonado,0,1,1,0,0,1,0,1,0,0,VERDADEIRO,
abandon,abandonar,0,1,0,0,0,1,0,1,0,0,VERDADEIRO,
forsake,abandone,0,1,0,0,0,0,0,1,0,0,VERDADEIRO,
abandonment,abandono,0,1,1,0,0,1,0,1,1,0,VERDADEIRO,
crammed,abarrotado,0,0,0,0,0,0,0,0,0,0,FALSO,
waterworks,abastecimento de água,0,0,0,0,0,0,0,0,0,0,FALSO,
slaughtering,abate,0,1,1,0,1,1,0,1,1,0,VERDADEIRO,
haggard,abatido,0,1,0,0,0,0,0,1,0,0,VERDADEIRO,
abba,abba,1,0,0,0,0,0,0,0,0,0,VERDADEIRO,
abdomen,abdômen,0,0,0,0,0,0,0,0,0,0,FALSO,
abdominal,abdominal,0,0,0,0,0,0,0,0,0,0,FALSO,
abduction,abdução,0,1,0,0,0,1,0,1,1,0,VERDADEIRO,
bee,abelha,0,0,1,0,0,1,0,0,0,0,VERDADEIRO,
blessed,abençoado,1,0,0,0,0,0,1,0,0,0,VERDADEIRO,
bless,abençoe,1,0,0,1,0,0,1,0,0,1,VERDADEIRO,
aberration,aberração,0,1,0,0,1,0,0,0,0,0,VERDADEIRO,
aberrant,aberrante,0,1,0,0,0,0,0,0,0,0,VERDADEIRO,
openly,abertamente,0,0,0,0,0,0,0,0,0,0,FALSO,
open,aberto,0,0,0,0,0,0,0,0,0,0,FALSO,
overt,abertos,0,0,0,0,0,1,0,0,0,0,VERDADEIRO,
overture,abertura,0,0,0,1,0,0,0,0,0,0,VERDADEIRO,
spruce,abeto,1,0,0,0,0,0,0,0,0,0,VERDADEIRO,
abysmal,abismal,0,1,0,0,0,0,0,1,0,0,VERDADEIRO,
abyss,abismo,0,1,0,0,0,1,0,1,0,0,VERDADEIRO,
abject,abjeta,0,1,0,0,1,0,0,0,0,0,VERDADEIRO,
contemptible,abjeto,0,1,1,0,1,0,0,0,0,0,VERDADEIRO,
ablation,ablação,0,0,0,0,0,0,0,0,0,0,FALSO,
vaulting,abóbada,0,0,0,0,0,0,0,0,0,0,FALSO,
vaulted,abobadado,0,0,0,0,0,0,0,0,0,0,FALSO,
abolition,abolição,0,1,0,0,0,0,0,0,0,0,VERDADEIRO,
abolish,abolir,0,1,1,0,0,0,0,0,0,0,VERDADEIRO,
abomination,abominação,0,1,1,0,1,1,0,0,0,0,VERDADEIRO,
abhor,abominar,0,1,1,0,1,1,0,0,0,0,VERDADEIRO,
abominable,abominável,0,1,0,0,1,1,0,0,0,0,VERDADEIRO,
allowance,abono,0,0,0,0,0,0,0,0,0,0,FALSO,
approach,abordagem,0,0,0,0,0,0,0,0,0,0,FALSO,
tackling,abordando,0,0,0,0,0,0,0,0,0,0,FALSO,
aboriginal,aborígene,0,0,0,0,0,0,0,0,0,0,FALSO,
dreary,aborrecido,0,1,0,0,0,0,0,1,0,0,VERDADEIRO,
